m,n,R,s,seed,ker_dim,s_val,decomp_error,w
2,14,13,8,0,8,0.00030242318698056874,4.2856326045648297e-13,2.220446049250313e-16
2,14,13,9,0,9,0.0010250088533096877,6.102978497831463e-12,1.1102230246251565e-16
2,14,13,10,0,10,0.0019748273421911237,1.0545696898175281e-13,4.440892098500626e-16
2,14,13,11,0,11,0.002441401396655115,1.2022932326845243e-13,2.220446049250313e-16
2,14,13,12,0,12,0.0002114732370234244,3.6690244572757986e-13,1.1102230246251565e-16
2,14,13,13,0,13,0.0025956282484098994,3.6236405010539717e-13,2.220446049250313e-16
2,14,14,14,0,14,0.0009497782177039971,1.1154879533040463e-12,2.220446049250313e-16
5,5,13,0,0,0,0.02071918028162507,,
5,5,13,1,0,1,0.0261919027728379,1.4510770373942262e-15,1.1102230246251565e-16
5,5,13,2,0,2,0.029819529163088297,1.3010683378046865e-14,0.0
5,5,13,3,0,3,0.02336732040861735,3.305091664207722e-12,4.440892098500626e-16
5,5,13,4,0,4,0.03381010606467417,1.806715113411652e-14,2.220446049250313e-16
5,5,14,5,0,5,0.006034023871814134,4.3580127625382746e-14,1.1102230246251565e-16
5,5,14,6,0,6,0.00866469734023453,8.033749035601855e-13,1.1102230246251565e-16
5,5,14,7,0,7,0.003533488223134739,3.2561104509838407e-12,1.1102230246251565e-16
5,5,14,8,0,8,0.0073503097390320085,3.506567761074238e-13,1.1102230246251565e-16
5,5,14,9,0,9,0.0012090068613039853,1.6166032976495034e-12,2.220446049250313e-16
5,5,14,10,0,10,0.011622545949357216,1.2866389426655552e-12,2.220446049250313e-16
5,5,14,11,0,11,0.004411424747469482,1.3354231177948871e-11,1.1102230246251565e-16
5,5,14,12,0,12,0.007261773361807645,8.50189647179593e-13,3.3306690738754696e-16
5,5,14,13,0,13,0.006337784768705718,1.4062760009207743e-12,1.1102230246251565e-16
5,5,14,14,0,14,0.0032538799817636837,4.488020529429093e-13,1.1102230246251565e-16
2,15,14,0,0,0,0.0005140245090855106,,
2,15,14,1,0,1,0.0022552238117386123,8.790865039364336e-15,0.0
