m,n,R,s,seed,ker_dim,s_val,decomp_error,w
11,,49,29,0,29,0.0021841666375738153,1.3639966964854362e-10,5.551115123125783e-16
11,,49,30,0,30,0.0014792174309553663,4.6311018546590666e-11,4.440892098500626e-16
11,,49,31,0,31,0.0024915393099697856,1.8250443098117055e-10,5.551115123125783e-16
11,,49,32,0,32,0.0036945515820971156,1.563044918908491e-10,4.440892098500626e-16
11,,49,33,0,33,0.0019789638039355985,1.8693708484307416e-09,5.551115123125783e-16
11,,49,34,0,34,0.003682025328831981,1.534517788596256e-09,2.220446049250313e-16
11,,49,35,0,35,0.0029871831908352695,5.309871152423116e-10,2.220446049250313e-16
11,,49,36,0,36,0.0034095024678439854,3.1220602931252944e-11,3.3306690738754696e-16
11,,49,37,0,37,0.0036871495315540827,5.797689025601446e-10,4.440892098500626e-16
11,,49,38,0,38,0.0035129733232853195,9.196354665237481e-11,4.440892098500626e-16
11,,49,39,0,39,0.0034863834389250842,5.743548074444464e-11,4.440892098500626e-16
11,,49,40,0,40,0.002739435623595675,9.440462274506406e-11,6.661338147750939e-16
11,,49,41,0,41,0.0024344981661985204,2.5662810527448056e-10,5.551115123125783e-16
11,,49,42,0,42,0.0034775272386212324,6.50699348529387e-10,4.440892098500626e-16
11,,49,43,0,43,0.003341048709329154,7.137111664701519e-11,3.3306690738754696e-16
11,,49,44,0,44,0.003983939875784394,4.9023927196795904e-11,5.551115123125783e-16
11,,49,45,0,45,0.004123061222785468,8.124508475860771e-11,9.992007221626409e-16
11,,49,46,0,46,0.004907628555324419,1.4466487927318813e-10,5.551115123125783e-16
11,,49,47,0,47,0.002754354845667134,4.895551419691726e-11,4.440892098500626e-16
11,,49,48,0,48,0.004375067419176022,2.0475369920062473e-11,4.440892098500626e-16
11,,49,49,0,49,0.0040154162890059675,2.411564094734787e-11,3.3306690738754696e-16
12,,58,0,0,0,0.0017806673260197096,,
12,,58,1,0,1,0.001748646138666212,2.1418891049775163e-14,0.0
12,,58,2,0,2,0.0014677555980342977,8.644119708000693e-14,0.0
12,,58,3,0,3,0.001905829805397078,1.051503917260218e-11,3.3306690738754696e-16
12,,58,4,0,4,0.0021108358624217635,1.698309727517138e-13,5.551115123125783e-16
12,,58,5,0,5,0.0030977802483887562,4.247998880532506e-12,2.220446049250313e-16
12,,58,6,0,6,0.00218150231044384,6.885240151118959e-12,3.3306690738754696e-16
12,,58,7,0,7,0.0028587736097982937,6.199295941612964e-13,5.551115123125783e-16
12,,58,8,0,8,0.0024697497456879756,8.00756091185176e-12,1.1102230246251565e-16
12,,58,9,0,9,0.0025541557965693693,1.2189418880137512e-11,4.440892098500626e-16
12,,58,10,0,10,0.002071346511878397,1.3900452513566085e-12,4.440892098500626e-16
12,,58,11,0,11,0.00318770230594353,9.773043059518753e-11,2.220446049250313e-16
